City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Ancud,CL,50.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
426,Baruun-Urt,MN,36.77,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
427,Constitucion,CL,64.99,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
433,Calvinia,ZA,64.65,few clouds,-31.4707,19.776,Die Lemoenhuis
434,Yelabuga,RU,33.35,overcast clouds,55.7613,52.0649,"Мини-отель ""Blackberry"""
435,Margate,GB,44.31,few clouds,51.3813,1.3862,Premier Inn Margate hotel
440,Peace River,CA,41.31,scattered clouds,56.2501,-117.286,BCMInns - Peace River
442,Skibbereen,IE,50.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
446,Olafsvik,IS,41.43,light rain,64.8945,-23.7142,Hotel Olafsvik
448,Xuanwu,CN,44.55,clear sky,32.069,118.8138,东方珍珠饭店
451,Orito,CO,72.52,overcast clouds,0.6766,-76.8771,Mayju
452,Praia Da Vitoria,PT,64.65,few clouds,38.7333,-27.0667,Hotel Branco I
454,Bobcaygeon,CA,46.15,broken clouds,44.5462,-78.542,The Bobcaygeon Inn And The Royal Moose Grill & Waterfront Patio
456,Wilmington,US,69.94,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
457,Iguape,BR,71.31,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
459,North Bend,US,55.17,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
460,Portland,US,53.29,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
462,Cidreira,BR,71.89,clear sky,-30.1811,-50.2056,Hotel Castelo
463,Nerang,AU,68.38,scattered clouds,-27.9833,153.3333,RACV Royal Pines Resort Gold Coast
468,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
469,Abha,SA,69.62,clear sky,18.2164,42.5053,Abha Hotel
472,Santiago Del Estero,AR,73.4,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
474,Prince George,CA,40.24,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
475,Boende,CD,73.65,broken clouds,-0.2167,20.8667,
476,Salmas,IR,57.4,few clouds,38.1973,44.7653,Ata Hotel
478,Lac-Megantic,CA,32.56,overcast clouds,45.5834,-70.8823,Motel Le Quiet
479,Aksu,CN,57.6,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
481,Sierra Vista,US,72.37,clear sky,31.5545,-110.3037,Gateway Studio Suites
482,Price,US,58.12,clear sky,39.5994,-110.8107,National 9 - Price River Inn
483,Beloha,MG,73.63,clear sky,-25.1667,45.05,
484,Changji,CN,52.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
485,Altus,US,63.99,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
488,Florianopolis,BR,70.7,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
490,Coihaique,CL,51.75,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
491,Kiama,AU,63.37,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
492,Shar,KZ,31.59,overcast clouds,49.5886,81.0453,
494,Oyama,JP,49.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
495,Imbituba,BR,71.74,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
498,Daragutan,PH,73.22,moderate rain,17.0,122.0333,Benjie Malsi Home
502,Flinders,AU,63.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
504,Hirara,JP,65.89,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
507,Shingu,JP,49.59,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
509,Grand Island,US,56.61,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
511,Itoman,JP,64.42,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
513,Krasnoarmeysk,RU,55.72,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
514,Xihe,CN,51.58,clear sky,31.6864,113.4659,Xintiandi Business Hotel
517,Hillsborough,US,65.52,broken clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
520,Barcelos,PT,61.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
521,Hunterville,NZ,51.69,broken clouds,-39.9333,175.5667,Argyle Hotel
522,Mount Pleasant,US,70.09,clear sky,32.7941,-79.8626,Best Western Patriots Point
525,Nantucket,US,51.91,clear sky,41.2835,-70.0995,Jared Coffin House
526,Nouadhibou,MR,67.98,few clouds,20.931,-17.0347,El Medina
527,Ulverstone,AU,50.22,clear sky,-41.15,146.1667,Westella Colonial Bed & Breakfast
528,Dryden,CA,35.89,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
530,Mason City,US,45.32,broken clouds,43.1536,-93.201,Days Inn by Wyndham Mason City
531,Sergeyevka,KZ,36.46,overcast clouds,53.88,67.4158,Amina
534,Kaeo,NZ,59.32,overcast clouds,-35.1,173.7833,Bushido Lodge
537,Roald,NO,39.76,scattered clouds,62.5833,6.1333,Flem Cabins
539,Springdale,US,62.74,scattered clouds,36.1867,-94.1288,Springdale Inn
541,Klyuchi,RU,34.74,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
542,Moose Factory,CA,39.2,clear sky,51.2585,-80.6094,Moosonee Lilypad
543,Ionia,US,43.86,clear sky,42.9873,-85.0711,American Inn & Suites
544,Sungaipenuh,ID,63.07,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
545,Discovery Bay,US,67.48,clear sky,37.9085,-121.6002,Orwood Resort Inc
546,La Rioja,ES,37.18,overcast clouds,42.25,-2.5,Casa Concejos
551,Langsa,ID,74.26,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
554,Skagen,DK,37.53,clear sky,57.7209,10.5839,Ruth's Hotel
556,Mingshui,CN,50.52,clear sky,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
557,Sitka,US,44.49,broken clouds,57.0531,-135.33,Westmark Sitka
558,Kuytun,RU,32.52,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
559,Hami,CN,53.73,scattered clouds,42.8,93.45,Laoyutang Resort
560,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
562,Oliveira Do Hospital,PT,57.09,clear sky,40.3618,-7.8601,Casa da Bezerra
563,Wajima,JP,42.42,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
566,Jepara,ID,74.32,scattered clouds,-5.1695,105.7044,Hotel Yestoya
569,Waitati,NZ,53.8,few clouds,-45.75,170.5667,Arden Country House BnB Dunedin
571,Evans,US,69.26,clear sky,33.5337,-82.1307,Evans hide out
572,Bon Accord,CA,42.76,overcast clouds,53.8335,-113.4187,
574,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
577,Alexandria,EG,66.74,clear sky,31.2156,29.9553,Royal Crown Hotel
580,Murgab,TM,67.87,broken clouds,37.4966,61.9714,
584,Miquelon,PM,35.6,overcast clouds,47.0975,-56.3814,Island Inn
